,A_M13DKO_080212_CTRL4.8_crop,B_M13DKO_080212_CTRL4.8_crop,F_M13DKO_060212_CTRL7.2_crop,F_M13DKO_080212_CTRL6.7B_crop,C_M13DKO_060212_CTRL7.2_crop,A_M13DKO_080212_CTRL6.7B_crop
0,0.0,0.0,1.554,2.6916069549620354,0.0,6.216
1,1.554,12.624755680804284,1.554,3.4748496370346733,0.0,6.407306142209845
2,2.19768787592779,18.32138979444518,1.554,4.39537575185558,0.0,7.7700000000000005
3,2.6916069549620354,21.64471538274412,1.554,7.77,0.0,7.923876324123188
4,3.4748496370346733,21.756,3.108,8.927050352720096,16.519246592989646,9.57949936061379
5,19.47156418986416,25.67629389144781,4.914179483901662,18.648,26.04978687052929,9.950455064970647
6,26.463666412649623,27.885533023415565,6.59306362778337,31.504451685436457,26.234539447072443,11.313290767941925
7,31.15760311705636,29.526,12.528748540855943,31.58101182672905,27.005640744111226,11.419521180855176
8,34.748496370346736,29.93215388173728,28.94781255984638,32.074198602615155,,11.419521180855178
9,,32.634,37.6824973694685,,,11.834911406512512
10,,35.53872631369897,,,,11.936500492187816
11,,37.4575252252468,,,,12.137127996358942
12,,,,,,12.528748540855945
13,,,,,,13.36801346498424
14,,,,,,28.144137009331093
15,,,,,,29.48507690340997
16,,,,,,39.61938162061595
