,A_M13DKO_080212_CTRL4.8_crop_seg_id,A_M13DKO_080212_CTRL4.8_crop_distance,B_M13DKO_080212_CTRL4.8_crop_seg_id,B_M13DKO_080212_CTRL4.8_crop_distance,F_M13DKO_060212_CTRL7.2_crop_seg_id,F_M13DKO_060212_CTRL7.2_crop_distance,F_M13DKO_080212_CTRL6.7B_crop_seg_id,F_M13DKO_080212_CTRL6.7B_crop_distance,C_M13DKO_060212_CTRL7.2_crop_seg_id,C_M13DKO_060212_CTRL7.2_crop_distance,A_M13DKO_080212_CTRL6.7B_crop_seg_id,A_M13DKO_080212_CTRL6.7B_crop_distance
0,8.0,0.0,16,0.0,17.0,1.554,2.0,2.6916069549620354,22.0,0.0,29.0,6.216
1,72.0,1.554,3,12.624755680804284,21.0,1.554,41.0,3.4748496370346733,56.0,0.0,11.0,6.407306142209845
2,6.0,2.19768787592779,13,18.32138979444518,83.0,1.554,6.0,4.39537575185558,66.0,0.0,8.0,7.7700000000000005
3,4.0,2.6916069549620354,69,21.64471538274412,98.0,1.554,7.0,7.77,68.0,0.0,2.0,7.923876324123188
4,69.0,3.4748496370346733,14,21.756,1.0,3.108,21.0,8.927050352720096,63.0,16.519246592989646,75.0,9.57949936061379
5,71.0,19.47156418986416,1,25.67629389144781,101.0,4.914179483901662,13.0,18.648,3.0,26.04978687052929,22.0,9.950455064970647
6,10.0,26.463666412649623,29,27.885533023415565,27.0,6.59306362778337,25.0,31.504451685436457,45.0,26.234539447072443,72.0,11.313290767941925
7,70.0,31.15760311705636,71,29.526,82.0,12.528748540855943,29.0,31.58101182672905,29.0,27.005640744111226,42.0,11.419521180855176
8,7.0,34.748496370346736,54,29.93215388173728,6.0,28.94781255984638,34.0,32.074198602615155,69.0,40.37410432443053,70.0,11.419521180855178
9,5.0,45.30649622294799,65,32.634,89.0,37.6824973694685,3.0,40.553147793975256,48.0,43.788620713605496,28.0,11.834911406512512
10,9.0,50.33137077410072,11,35.53872631369897,14.0,41.524089682978,1.0,43.65052948132474,70.0,46.67177125415319,61.0,11.936500492187816
11,2.0,51.44655417032321,68,37.4575252252468,69.0,43.09373973096325,4.0,49.46018507850532,42.0,48.37410054977767,74.0,12.137127996358942
12,11.0,51.96033186960992,41,43.87126681553657,4.0,43.59517051234001,12.0,49.97022257304844,25.0,64.16721733097049,55.0,12.528748540855945
13,107.0,56.03026682071039,43,46.30815703523517,16.0,43.73343654459367,14.0,54.412195471236046,13.0,71.43330811323244,10.0,13.36801346498424
14,3.0,64.09190366965238,64,54.94219689819474,76.0,49.14179483901662,35.0,59.560990623057975,26.0,75.17249124513567,25.0,28.144137009331093
15,99.0,65.36043454567908,81,56.22388321701019,22.0,50.99867186505939,24.0,76.0031517241226,58.0,75.89186161901684,19.0,29.48507690340997
16,45.0,67.55879839073518,2,59.98520517594318,97.0,53.51719701180173,46.0,76.54140197304986,60.0,76.60447689267254,23.0,39.61938162061595
17,85.0,68.55236346035052,59,61.88745249240754,20.0,55.29270888643457,39.0,80.86774714309779,40.0,79.92154165179748,71.0,46.51628463237364
18,1.0,72.65677102651894,67,66.24124373832363,100.0,55.987150025697865,27.0,81.32929929613313,54.0,80.88267703284802,18.0,51.680722672965786
19,23.0,77.77766118880152,7,66.822,3.0,63.23844476266,23.0,83.98791363047424,51.0,85.2436639522258,3.0,56.90696228055053
20,68.0,80.17796699842171,30,66.84006732492121,106.0,64.80384960787438,28.0,94.70479409195714,28.0,86.0332350897024,76.0,59.50014164689022
21,12.0,86.92682074020654,72,67.11049351628999,91.0,65.60015481689048,26.0,98.7004110629738,67.0,87.2595561987339,27.0,63.123778404021415
22,18.0,89.12159516076898,9,67.34398449750357,2.0,67.77293141070409,,,4.0,90.10520291303938,32.0,63.903231185911096
23,37.0,89.45966478810436,85,69.27075928557446,13.0,74.08848809363032,,,5.0,92.34212687609052,54.0,64.09190366965238
24,88.0,90.10520291303938,78,71.77057773210412,85.0,79.20828093072089,,,,,4.0,65.6553505816548
25,95.0,91.43543728773872,17,73.12061285301156,12.0,83.46875259640579,,,,,5.0,66.822
26,65.0,91.54102096874384,8,73.8763166380133,26.0,85.04512578625538,,,,,73.0,70.63438579049159
27,94.0,94.01378920137196,24,74.23502079207628,72.0,85.14445273768574,,,,,67.0,73.8763166380133
28,49.0,99.12766114460686,15,75.70069793601641,90.0,87.71500656102126,,,,,20.0,74.36502968465756
29,,,77,76.19355657796794,8.0,91.2239033148659,,,,,47.0,74.60818574392492
30,,,4,76.5887130326656,84.0,95.9083679560861,,,,,63.0,76.77766573685345
31,,,10,78.53467682495422,68.0,98.29587435899842,,,,,39.0,81.72917261296607
32,,,62,83.82962221076748,,,,,,,13.0,84.6038475720815
33,,,76,85.58294355769729,,,,,,,69.0,89.90397016817444
34,,,75,86.82953271784895,,,,,,,12.0,96.97258841548988
35,,,61,90.34609056290152,,,,,,,,
36,,,5,92.99362449114456,,,,,,,,
37,,,74,93.40819829115644,,,,,,,,
38,,,80,94.5899771646024,,,,,,,,
39,,,63,98.33271919356244,,,,,,,,
40,,,44,98.60249396440236,,,,,,,,
41,,,48,98.89595441675051,,,,,,,,
42,,,83,99.96460577624462,,,,,,,,
