,A_M13DKO_080212_CTRL4.8_crop,B_M13DKO_080212_CTRL4.8_crop,F_M13DKO_060212_CTRL7.2_crop,F_M13DKO_080212_CTRL6.7B_crop,C_M13DKO_060212_CTRL7.2_crop,A_M13DKO_080212_CTRL6.7B_crop
0,0.0,0.0,1.554,2.6916069549620354,0.0,6.216
1,1.554,12.624755680804284,1.554,3.4748496370346733,0.0,6.407306142209845
2,2.19768787592779,18.32138979444518,1.554,4.39537575185558,0.0,7.7700000000000005
3,2.6916069549620354,21.64471538274412,1.554,7.77,0.0,7.923876324123188
4,3.4748496370346733,21.756,3.108,8.927050352720096,16.519246592989646,9.57949936061379
5,19.47156418986416,25.67629389144781,4.914179483901662,18.648,26.04978687052929,9.950455064970647
6,26.463666412649623,27.885533023415565,6.59306362778337,31.504451685436457,26.234539447072443,11.313290767941925
7,31.15760311705636,29.526,12.528748540855943,31.58101182672905,27.005640744111226,11.419521180855176
8,34.748496370346736,29.93215388173728,28.94781255984638,32.074198602615155,40.37410432443053,11.419521180855178
9,45.30649622294799,32.634,37.6824973694685,40.553147793975256,43.788620713605496,11.834911406512512
10,50.33137077410072,35.53872631369897,41.524089682978,43.65052948132474,46.67177125415319,11.936500492187816
11,51.44655417032321,37.4575252252468,43.09373973096325,49.46018507850532,48.37410054977767,12.137127996358942
12,51.96033186960992,43.87126681553657,43.59517051234001,49.97022257304844,64.16721733097049,12.528748540855945
13,56.03026682071039,46.30815703523517,43.73343654459367,54.412195471236046,71.43330811323244,13.36801346498424
14,64.09190366965238,54.94219689819474,49.14179483901662,59.560990623057975,75.17249124513567,28.144137009331093
15,65.36043454567908,56.22388321701019,50.99867186505939,76.0031517241226,75.89186161901684,29.48507690340997
16,67.55879839073518,59.98520517594318,53.51719701180173,76.54140197304986,76.60447689267254,39.61938162061595
17,68.55236346035052,61.88745249240754,55.29270888643457,80.86774714309779,79.92154165179748,46.51628463237364
18,72.65677102651894,66.24124373832363,55.987150025697865,81.32929929613313,80.88267703284802,51.680722672965786
19,77.77766118880152,66.822,63.23844476266,83.98791363047424,85.2436639522258,56.90696228055053
20,80.17796699842171,66.84006732492121,64.80384960787438,94.70479409195714,86.0332350897024,59.50014164689022
21,86.92682074020654,67.11049351628999,65.60015481689048,98.7004110629738,87.2595561987339,63.123778404021415
22,89.12159516076898,67.34398449750357,67.77293141070409,,90.10520291303938,63.903231185911096
23,89.45966478810436,69.27075928557446,74.08848809363032,,92.34212687609052,64.09190366965238
24,90.10520291303938,71.77057773210412,79.20828093072089,,,65.6553505816548
25,91.43543728773872,73.12061285301156,83.46875259640579,,,66.822
26,91.54102096874384,73.8763166380133,85.04512578625538,,,70.63438579049159
27,94.01378920137196,74.23502079207628,85.14445273768574,,,73.8763166380133
28,99.12766114460686,75.70069793601641,87.71500656102126,,,74.36502968465756
29,,76.19355657796794,91.2239033148659,,,74.60818574392492
30,,76.5887130326656,95.9083679560861,,,76.77766573685345
31,,78.53467682495422,98.29587435899842,,,81.72917261296607
32,,83.82962221076748,,,,84.6038475720815
33,,85.58294355769729,,,,89.90397016817444
34,,86.82953271784895,,,,96.97258841548988
35,,90.34609056290152,,,,
36,,92.99362449114456,,,,
37,,93.40819829115644,,,,
38,,94.5899771646024,,,,
39,,98.33271919356244,,,,
40,,98.60249396440236,,,,
41,,98.89595441675051,,,,
42,,99.96460577624462,,,,
