,E_SNAP25_120812_CTRL2.3_14_crop,C_SNAP25_12082_CTRL2.3_5_crop,D_SNAP25_12082_CTRL2.3_5_crop,B_SNAP25_120812_CTRL1.4_4_crop,B_SNAP25_120812_CTRL1.3_13_crop
0,0.0,0.0,0.0,0.0,1.554
1,0.0,0.0,1.554,0.0,2.19768787592779
2,32.3366452805482,0.0,3.108,0.0,2.19768787592779
3,38.91211035140603,0.0,3.4748496370346733,0.0,4.662000000000001
4,60.62591980333164,0.0,5.154034924212291,0.0,4.914179483901662
5,63.7329484019059,1.554,32.14940198510697,0.0,5.154034924212291
6,69.4274609646644,18.648000000000003,50.13908212163442,0.0,5.814535579046705
7,71.77057773210413,22.679883333033263,50.73756454541349,2.19768787592779,6.407306142209845
8,77.8397343520647,41.29080643436261,53.47205385993696,23.5162872069551,14.411203142000323
9,92.11956808409384,53.13225765954238,81.43315870086337,39.558381766700215,45.519203947345126
10,98.38182417499688,61.965445532167365,91.4750454495651,48.24913495597615,47.46700567762833
11,100.48265420459394,63.6191733363457,92.38134629891468,49.97022257304844,55.29270888643457
12,102.3518715412669,66.09525734876898,93.04554723359952,52.23844446382377,57.35081160716037
13,110.07103875225307,68.05739407294405,94.57721112403348,56.073350461694375,58.57982277200914
14,112.16823240115714,86.38339215381623,105.43177105597724,58.53858389131053,60.92393529640054
15,121.83796063624835,87.54966238655635,112.27582785265938,63.10464708719953,68.53474753728943
16,128.01413975026352,96.36053144311732,113.86695747230624,67.2542762060525,81.92100807485221
17,129.32790965603675,102.86963551991424,113.90936602404564,69.25332610062856,94.51335505630936
18,134.44570004280538,106.3667309829535,116.73633105421808,72.25682245988956,95.66886452759853
19,138.3409169407229,115.10095210726972,125.9123645239021,84.46100795041463,100.09738500080809
20,140.69494110308304,115.4779899028382,133.39983509734938,85.73799801721522,105.34011116379173
21,149.41853439249095,115.96838881350384,137.68475078962086,93.89812732956926,105.37449296675169
22,157.3305088023299,126.5246148541856,143.28014836675737,103.5131986366956,107.59696698327514
23,168.60004814945933,128.86961368763392,145.81953017343045,105.672,115.32104063006022
24,170.98237656553962,145.33015976045715,149.0139343148821,106.13945138354542,116.14525722559661
25,180.02940769774253,156.99246063426105,158.3631985658284,125.25856957509934,125.48970968171056
26,180.97262442701103,157.66017375355136,160.49141427503218,130.66543582753627,125.61473298940695
27,191.72228987783348,161.2045628262426,167.32763102368958,130.88702802035044,136.4160646551571
28,195.1739864428659,163.05896221919235,168.88627201759178,138.17498288764142,137.83375556082044
29,,172.86460188251382,169.69224609274283,142.6297738342174,141.65287517025556
30,,199.57256722305297,178.50042494067068,142.7905311566562,148.80310750787433
31,,,184.43564399540563,147.65453480337135,150.30482088076883
32,,,186.92624107920216,147.95679619402418,153.9401530075893
33,,,187.96335036384087,151.696191659514,158.06555898107595
34,,,191.84820759131424,151.89505411302898,158.60699849628324
35,,,192.7649150960828,153.1695431213399,161.33933049321857
36,,,195.84716190948487,161.23452093146804,162.8514891304344
37,,,,162.05619858555244,175.78068784710112
38,,,,163.2883570742262,186.6482740772065
39,,,,172.6269487652493,188.16238592237292
40,,,,173.36679190663938,190.50924535045536
41,,,,173.8119649506328,196.1305610148505
42,,,,176.54151323697212,196.16134059492967
43,,,,177.71401590195413,196.63473771437233
44,,,,178.62890333873742,
45,,,,179.17559349420333,
46,,,,181.73829021975527,
47,,,,184.46182922219975,
48,,,,186.38284969384927,
49,,,,187.73194747831283,
50,,,,187.92480300375468,
51,,,,192.04950421180476,
52,,,,192.558095815263,
53,,,,193.1528857770445,
54,,,,198.182223784072,
55,,,,198.79663060524945,
