,A_M13DKO_080212_DKO1.2_crop,G_M13DKO_060212_DKO1.1_crop,C_M13DKO_080212_DKO1.2_crop,E_M13DKO_080212_DKO1.2_crop,H_M13DKO_080212_DKO1.2_crop
0,9.061299244589597,,8.368546110287019,14.660406679215964,6.216
1,9.57949936061379,,9.828358967803323,14.660406679215964,7.121322629961376
2,10.19025946676531,,17.65004713874725,20.14214209065163,8.368546110287019
3,13.277381820223445,,22.57315387800296,24.57089741950831,11.419521180855176
4,15.847752648246376,,30.885139144902684,27.13944325147441,
5,16.519246592989646,,,31.46610176046597,
6,27.885533023415565,,,35.742000000000004,
7,31.42770503870749,,,,
