,A_M13DKO_080212_DKO1.2_crop_seg_id,A_M13DKO_080212_DKO1.2_crop_distance,A_M13DKO_080212_DKO1.2_crop_diameter,G_M13DKO_060212_DKO1.1_crop_seg_id,G_M13DKO_060212_DKO1.1_crop_distance,G_M13DKO_060212_DKO1.1_crop_diameter,C_M13DKO_080212_DKO1.2_crop_seg_id,C_M13DKO_080212_DKO1.2_crop_distance,C_M13DKO_080212_DKO1.2_crop_diameter,E_M13DKO_080212_DKO1.2_crop_seg_id,E_M13DKO_080212_DKO1.2_crop_distance,E_M13DKO_080212_DKO1.2_crop_diameter,H_M13DKO_080212_DKO1.2_crop_seg_id,H_M13DKO_080212_DKO1.2_crop_distance,H_M13DKO_080212_DKO1.2_crop_diameter
0,49,8.511608543630283,59.04457273790773,,,,15.0,8.368546110287019,47.81289742868499,1.0,14.660406679215964,54.5150906509724,8.0,6.216,47.81289742868499
1,6,9.061299244589597,55.036778046111,,,,62.0,9.828358967803323,,48.0,14.660406679215964,43.95147120000001,19.0,7.121322629961376,52.5941871715535
2,43,10.19025946676531,52.81107133775702,,,,6.0,17.65004713874725,50.71323599999999,47.0,20.14214209065163,57.37547691442199,24.0,8.368546110287019,44.081313347574614
3,7,13.186127255566738,53.45644442588228,,,,28.0,22.57315387800296,48.75977939805501,2.0,24.57089741950831,50.26043018499918,7.0,11.419521180855176,47.81289742868499
4,10,15.38381513149453,46.96871937691663,,,,34.0,30.885139144902684,40.71121517937428,3.0,27.13944325147441,59.04457273790773,,,
5,5,15.847752648246376,53.45644442588228,,,,,,,4.0,31.46610176046597,46.96871937691663,,,
6,47,27.842198835580497,55.45059423403328,,,,,,,24.0,35.742000000000004,54.19966799968288,,,
7,50,31.31223237011376,,,,,,,,,,,,,
