,A_M13DKO_080212_DKO1.2_crop_seg_id,A_M13DKO_080212_DKO1.2_crop_distance,G_M13DKO_060212_DKO1.1_crop_seg_id,G_M13DKO_060212_DKO1.1_crop_distance,C_M13DKO_080212_DKO1.2_crop_seg_id,C_M13DKO_080212_DKO1.2_crop_distance,E_M13DKO_080212_DKO1.2_crop_seg_id,E_M13DKO_080212_DKO1.2_crop_distance,H_M13DKO_080212_DKO1.2_crop_seg_id,H_M13DKO_080212_DKO1.2_crop_distance
24,37.0,139.59211010655295,,,7.0,116.85005376121998,15,144.00306834231,25.0,237.52319379799525
25,41.0,140.95216895103104,,,53.0,121.54028620996417,74,149.5477752291889,11.0,243.76014477350475
26,46.0,141.58466624603102,,,36.0,123.3547150132495,62,150.03143682575327,23.0,250.86874232554362
27,39.0,145.18884862137313,,,32.0,134.27495245204892,32,150.48947553898913,2.0,258.74916653778814
28,16.0,172.8855555909747,,,2.0,138.48049666288753,58,151.15396215779458,17.0,262.0230178438528
29,34.0,179.00704009619287,,,30.0,139.60075974005298,78,157.6295363312346,9.0,276.1445319610729
30,22.0,180.6988634053906,,,42.0,143.26329287015568,42,163.43618288494136,6.0,278.58673767428337
31,26.0,180.97262442701103,,,9.0,146.6123027443468,17,164.78995849262176,,
32,30.0,186.79700555415764,,,44.0,147.63,54,173.67992329569933,,
33,40.0,195.0749761707021,,,16.0,148.77876211341456,27,181.5322112904484,,
34,11.0,202.58701197263363,,,26.0,150.34498249027138,23,187.5388936300948,,
35,13.0,212.23908251780583,,,47.0,160.7019343505236,34,189.2118645857072,,
36,42.0,212.5744768122457,,,19.0,167.1976902232803,33,192.47656053660145,,
37,38.0,214.18156861877728,,,21.0,174.95445207253232,68,200.91723633377003,,
38,21.0,219.1635901330328,,,20.0,186.5512114031962,61,201.73290369198577,,
39,29.0,222.53692370480903,,,46.0,189.8553033654841,8,204.6919456158449,,
40,12.0,227.38902013070023,,,12.0,195.0440251532972,76,204.9277659078925,,
41,20.0,238.674367128102,,,38.0,202.31862544017048,60,205.0396855342887,,
42,33.0,254.3343075088377,,,51.0,205.65709038105155,11,208.5025607324764,,
43,15.0,258.10906162318287,,,40.0,227.4155690712489,70,211.22398798431965,,
44,31.0,267.2789649635751,,,8.0,228.4009970030779,56,211.469653822954,,
45,14.0,270.91796173011494,,,23.0,233.0015592136671,69,218.0810759878078,,
46,45.0,274.62306290623155,,,57.0,233.44162965503816,36,223.9324244945336,,
47,19.0,282.65290734043407,,,4.0,233.99958415347663,6,225.63523464210996,,
48,27.0,298.19393360026623,,,35.0,240.4736545570013,16,230.50068745233716,,
49,23.0,355.98812751551145,,,60.0,249.27051305760176,26,233.46231841562783,,
50,,,,,45.0,255.0265039402768,40,235.08070474626368,,
51,,,,,25.0,256.4476699601695,25,240.4887175815115,,
52,,,,,27.0,274.8340274565724,53,240.5991509461328,,
53,,,,,1.0,281.5657602834549,20,245.60083845133752,,
54,,,,,22.0,284.75115384489663,66,247.9104923152709,,
55,,,,,58.0,288.31202478564785,37,251.36880701471296,,
56,,,,,52.0,300.0065321288855,51,252.5046776438013,,
57,,,,,54.0,316.1120199612789,31,253.09217075998225,,
58,,,,,59.0,331.3702317951931,79,256.41470904766754,,
59,,,,,56.0,342.64202348223426,63,258.5857867787787,,
60,,,,,48.0,350.75676833954327,57,259.2200565156948,,
61,,,,,49.0,354.018799738093,22,260.3355863880311,,
62,,,,,,,14,260.92858560916625,,
63,,,,,,,65,275.9170652569355,,
64,,,,,,,18,276.4897482656455,,
65,,,,,,,12,279.1150124231945,,
66,,,,,,,43,281.63865312843694,,
67,,,,,,,38,284.891052586774,,
68,,,,,,,19,285.49648830064444,,
69,,,,,,,55,288.43763817504816,,
70,,,,,,,5,289.2026983691543,,
71,,,,,,,67,295.5256962431524,,
72,,,,,,,7,297.0092028271178,,
73,,,,,,,29,298.55005383352386,,
74,,,,,,,52,298.6956170083518,,
75,,,,,,,41,303.7940828456012,,
76,,,,,,,71,306.2957258663595,,
77,,,,,,,59,313.4036988741518,,
78,,,,,,,75,314.13101978633057,,
