,A_M13DKO_080212_DKO1.2_crop_seg_id,A_M13DKO_080212_DKO1.2_crop_distance,G_M13DKO_060212_DKO1.1_crop_seg_id,G_M13DKO_060212_DKO1.1_crop_distance,C_M13DKO_080212_DKO1.2_crop_seg_id,C_M13DKO_080212_DKO1.2_crop_distance,E_M13DKO_080212_DKO1.2_crop_seg_id,E_M13DKO_080212_DKO1.2_crop_distance,H_M13DKO_080212_DKO1.2_crop_seg_id,H_M13DKO_080212_DKO1.2_crop_distance
0,49,8.511608543630283,,,15.0,8.368546110287019,1.0,14.660406679215964,8.0,6.216
1,6,9.061299244589597,,,62.0,9.828358967803323,48.0,14.660406679215964,19.0,7.121322629961376
2,43,10.19025946676531,,,6.0,17.65004713874725,47.0,20.14214209065163,24.0,8.368546110287019
3,7,13.186127255566738,,,28.0,22.57315387800296,2.0,24.57089741950831,7.0,11.419521180855176
4,10,15.38381513149453,,,34.0,30.885139144902684,3.0,27.13944325147441,,
5,5,15.847752648246376,,,,,4.0,31.46610176046597,,
6,47,27.842198835580497,,,,,24.0,35.742000000000004,,
7,50,31.31223237011376,,,,,,,,
