,D_SNAP25_12.08.12_KO1.1_3_crop,C_SNAP25_12082_KO1.2_6_crop,E_SNAP25_12082_KO2.1_6_crop,A_SNAP25_12082_KO1.2_6_crop,B_SNAP25_12082_KO1.2_6_crop
0,9.193587982936805,1.554,3.4748496370346733,4.662,6.216
1,10.878,1.554,5.154034924212291,7.77,10.308069848424582
2,12.90849348297469,4.662,6.216,9.452612972083434,40.582911576179455
3,14.660406679215962,6.216,6.407306142209845,11.419521180855176,60.04556260041203
4,22.46591738612069,13.636294658007358,6.407306142209845,41.14433273246754,75.15642703056074
5,59.642026021925176,60.76517558602131,77.0602260832396,50.13908212163442,89.87710509356651
6,63.581203071348064,86.46721885200193,80.34345317448087,51.11691610416262,90.78605789437054
7,76.22524447976537,118.81750265007256,90.4796399197079,56.35259124476886,92.88969193618848
8,97.60555117410075,144.34644175732217,90.51966630517371,65.1012870840508,103.85092612008812
9,102.0801770178716,198.70550218854032,113.29288830284098,76.60447689267252,123.66755042451517
10,104.9726712435194,201.667053223872,133.30023228786965,91.686,130.47123393300149
11,107.27103402130513,203.9710098224745,137.6145750711021,96.67328958921384,130.66543582753627
12,115.18484494064312,255.41444912925343,166.3941463513666,99.94044514609688,152.21269363624046
13,115.92673350008616,,167.8463882721341,112.46924027484135,156.91552993888146
14,116.82938513918492,,214.6602249975528,136.35409155577256,161.81013340331936
15,117.55062463466538,,,165.7251932205843,169.13632057012472
16,149.57199545369448,,,167.86077531097013,174.35990801786974
17,170.03345068544604,,,197.68199389929276,192.21918426629537
18,170.26763221469898,,,199.64515666551995,193.06534764167287
19,180.93926111267285,,,210.15803273727133,193.95762797064725
20,,,,215.83823701096156,198.12128776080576
21,,,,217.7541633585912,205.73927103982848
22,,,,223.82455723177475,219.64788150127922
23,,,,240.9652263377436,226.74558791738374
24,,,,247.78869889484469,227.2456022544771
25,,,,250.931304910328,244.34889642476392
26,,,,252.1936610860789,250.5797895202245
27,,,,258.6044639753924,254.04929642886242
28,,,,266.5098673445319,267.56793480535
29,,,,268.03684634766165,271.812325151013
30,,,,280.03925114883447,287.284126286156
31,,,,289.24027207150806,305.54580285777126
32,,,,299.587663390868,314.7108989342441
33,,,,300.9669155305945,316.49757610446244
34,,,,314.46909259893886,320.2710681594577
35,,,,318.0009551872447,338.03697325588513
36,,,,320.66292015760104,345.3028563218092
37,,,,331.09683148589625,360.6920704257303
38,,,,334.8933096853384,375.15825913339563
39,,,,343.8907550894615,
40,,,,363.57622585642207,
41,,,,388.3818780427326,
