,D_SNAP25_12.08.12_KO1.1_3_crop,C_SNAP25_12082_KO1.2_6_crop,E_SNAP25_12082_KO2.1_6_crop,A_SNAP25_12082_KO1.2_6_crop,B_SNAP25_12082_KO1.2_6_crop
0,9.193587982936805,1.554,3.4748496370346733,4.662,6.216
1,10.878,1.554,5.154034924212291,7.77,10.308069848424582
2,12.90849348297469,4.662,6.216,9.452612972083434,40.582911576179455
3,14.660406679215962,6.216,6.407306142209845,11.419521180855176,60.04556260041203
4,22.46591738612069,13.636294658007358,6.407306142209845,41.14433273246754,75.15642703056074
5,59.642026021925176,60.76517558602131,77.0602260832396,50.13908212163442,89.87710509356651
6,63.581203071348064,86.46721885200193,80.34345317448087,51.11691610416262,90.78605789437054
7,76.22524447976537,,90.4796399197079,56.35259124476886,92.88969193618848
8,97.60555117410075,,90.51966630517371,65.1012870840508,
9,,,,76.60447689267252,
10,,,,91.686,
11,,,,96.67328958921384,
12,,,,99.94044514609688,
